4430.64,233.19," Adventure, Comedy",19
1827.83,203.09," Action, Adventure",9
423.51,105.88," Adventure, Family",4
8.98,2.25," Drama, Fantasy",4
76.37,25.46," Drama, Family",3
7.29,3.65," Comedy, Drama",2
424.12,212.06," Adventure, Drama",2
1,1," Action, Crime",1
1.11,1.11," Comedy, Family",1
52.04,52.04," Comedy, Fantasy",1
2.38,2.38," Adventure, Fantasy",1
5.21,5.21," Biography, Drama",1
76.41,76.41," Family, Fantasy",1
0.19,0.19,Sci-Fi,1
